# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=6][T/m^n] 
+0.0000000000000000e+00 -5.6762555186132013e-01 +7.7589619422710570e+00 -2.5752184440968534e-01 -8.5497242270902618e+01 -2.6854602215096641e+07 
+5.0000000000000003e-02 -5.6762570256372002e-01 +7.7589705736382033e+00 -2.5774140701750631e-01 -8.5493395743328506e+01 -2.6849136680236761e+07 
+1.0000000000000001e-01 -5.6762615439412911e-01 +7.7589964692384434e+00 -2.5839692015806776e-01 -8.5482211185539256e+01 -2.6833311631493002e+07 
+1.5000000000000002e-01 -5.6762690693737705e-01 +7.7590396313219987e+00 -2.5948362176230638e-01 -8.5464221157627819e+01 -2.6807984402460583e+07 
+2.0000000000000001e-01 -5.6762795977830638e-01 +7.7591000621388080e+00 -2.6099674982142790e-01 -8.5439958207014215e+01 -2.6774012323183782e+07 
+2.5000000000000000e-01 -5.6762931250177584e-01 +7.7591777639401149e+00 -2.6293154233965454e-01 -8.5409954892416039e+01 -2.6732252723425683e+07 
+2.9999999999999999e-01 -5.6763096469265861e-01 +7.7592727389775717e+00 -2.6528323735134457e-01 -8.5374743770193135e+01 -2.6683562931173723e+07 
+3.4999999999999998e-01 -5.6763291593584486e-01 +7.7593849895033911e+00 -2.6804707282563750e-01 -8.5334857396705317e+01 -2.6628800280322324e+07 
+3.9999999999999997e-01 -5.6763516581623741e-01 +7.7595145177702571e+00 -2.7121828682943405e-01 -8.5290828326642355e+01 -2.6568822098155811e+07 
+4.4999999999999996e-01 -5.6763771391875784e-01 +7.7596613260317397e+00 -2.7479211731801068e-01 -8.5243189119409507e+01 -2.6504485719992507e+07 
+4.9999999999999994e-01 -5.6764055982833872e-01 +7.7598254165425686e+00 -2.7876380242433124e-01 -8.5192472342369427e+01 -2.6436648466067296e+07 
+5.4999999999999993e-01 -5.6764370312993395e-01 +7.7600067915568856e+00 -2.8312858004170910e-01 -8.5139210546773512e+01 -2.6366167677535020e+07 
+5.9999999999999998e-01 -5.6764714340850431e-01 +7.7602054533306539e+00 -2.8788168833324362e-01 -8.5083936301556221e+01 -2.6293900672854956e+07 
+6.5000000000000002e-01 -5.6765088024903476e-01 +7.7604214041203372e+00 -2.9301836517838420e-01 -8.5027182173981970e+01 -2.6220704794605952e+07 
+7.0000000000000007e-01 -5.6765491323651995e-01 +7.7606546461825170e+00 -2.9853384860413346e-01 -8.4969480725420823e+01 -2.6147437372058842e+07 
+7.5000000000000011e-01 -5.6765924195597162e-01 +7.7609051817753558e+00 -3.0442337659434193e-01 -8.4911364531094563e+01 -2.6074955736541256e+07 
+8.0000000000000016e-01 -5.6766386599241869e-01 +7.7611730131572561e+00 -3.1068218701869699e-01 -8.4853366160625370e+01 -2.6004117230842855e+07 
+8.5000000000000020e-01 -5.6766878493090078e-01 +7.7614581425870579e+00 -3.1730551794917844e-01 -8.4796018182554747e+01 -2.5935779175391696e+07 
+9.0000000000000024e-01 -5.6767399835647969e-01 +7.7617605723250929e+00 -3.2428860711696944e-01 -8.4739853177507683e+01 -2.5870798922716565e+07 
+9.5000000000000029e-01 -5.6767950585422555e-01 +7.7620803046323896e+00 -3.3162669249290339e-01 -8.4685403727877457e+01 -2.5810033804426331e+07 
+1.0000000000000002e+00 -5.6768530700923037e-01 +7.7624173417697797e+00 -3.3931501184747986e-01 -8.4633202404072151e+01 -2.5754341163204741e+07 
+1.0500000000000003e+00 -5.6769140122904638e-01 +7.7627716580075576e+00 -3.4734913634441300e-01 -8.4583609727717587e+01 -2.5704358259077389e+07 
+1.1000000000000003e+00 -5.6769778721043906e-01 +7.7631431144073080e+00 -3.5572568176296088e-01 -8.4536330767727847e+01 -2.5659856138938483e+07 
