# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
+0.0000000000000000e+00 -5.8038575075809884e-01 +7.6635607195474096e+00 +3.5612557195996395e+00 +3.2346670695299018e+01 +1.6976235621936787e+04 -5.3234339908465312e+05 -8.7071048124780893e+07 
+5.0000000000000003e-02 -5.8038658670102861e-01 +7.6635457758880721e+00 +3.5639324566273189e+00 +3.2265776702445251e+01 +1.6925479561868200e+04 -5.3231166391256719e+05 -8.6701091031548291e+07 
+1.0000000000000001e-01 -5.8038773985609315e-01 +7.6635478385061750e+00 +3.5661091834028373e+00 +3.2214099916194044e+01 +1.6875810134299452e+04 -5.3244564415358973e+05 -8.6336319963647440e+07 
+1.5000000000000002e-01 -5.8038920983066511e-01 +7.6635668974739009e+00 +3.5677918236411581e+00 +3.2190397207022222e+01 +1.6827221582096332e+04 -5.3273808322480880e+05 -8.5976882612123773e+07 
+2.0000000000000001e-01 -5.8039099623214352e-01 +7.6636029428607610e+00 +3.5689863028365219e+00 +3.2193425575760983e+01 +1.6779708099806161e+04 -5.3318172558942914e+05 -8.5622926339914277e+07 
+2.5000000000000000e-01 -5.8039309866793898e-01 +7.6636559647443985e+00 +3.5696985459947967e+00 +3.2221941720228408e+01 +1.6733263894511896e+04 -5.3376931322155567e+05 -8.5274598593377024e+07 
+2.9999999999999999e-01 -5.8039551674547873e-01 +7.6637259531966091e+00 +3.5699344784278142e+00 +3.2274702606849459e+01 +1.6687883163610561e+04 -5.3449359032898908e+05 -8.4932046748627916e+07 
+3.4999999999999998e-01 -5.8039825007220203e-01 +7.6638128982928393e+00 +3.5697000245911750e+00 +3.2350465080842973e+01 +1.6643560128770281e+04 -5.3534730012422020e+05 -8.4595418349657089e+07 
+3.9999999999999997e-01 -5.8040129825555453e-01 +7.6639167901109131e+00 +3.5690011082604820e+00 +3.2447985908714884e+01 +1.6600289022610410e+04 -5.3632318514348508e+05 -8.4264860987476200e+07 
+4.4999999999999996e-01 -5.8040466090300524e-01 +7.6640376187246639e+00 +3.5678436537236418e+00 +3.2566022054843693e+01 +1.6558064073441288e+04 -5.3741398958881118e+05 -8.3940522261836365e+07 
+4.9999999999999994e-01 -5.8040833762204358e-01 +7.6641753742119052e+00 +3.5662335869022637e+00 +3.2703330333238327e+01 +1.6516879456758052e+04 -5.3861245637379482e+05 -8.3622549380135223e+07 
+5.4999999999999993e-01 -5.8041232802015896e-01 +7.6643300466494440e+00 +3.5641768307200676e+00 +3.2858667630581529e+01 +1.6476729434509925e+04 -5.3991132902957755e+05 -8.3311090157719433e+07 
+5.9999999999999998e-01 -5.8041663170487567e-01 +7.6645016261175138e+00 +3.5616793117687404e+00 +3.3030790725398205e+01 +1.6437608166852558e+04 -5.4130335023381247e+05 -8.3006291711341172e+07 
+6.5000000000000002e-01 -5.8042124828371300e-01 +7.6646901026916545e+00 +3.5587469533672849e+00 +3.3218456592357107e+01 +1.6399509900637535e+04 -5.4278126419338351e+05 -8.2708301736861199e+07 
+7.0000000000000007e-01 -5.8042617736420887e-01 +7.6648954664540900e+00 +3.5553856791243836e+00 +3.3420421973649226e+01 +1.6362428877849312e+04 -5.4433781327592896e+05 -8.2417267909596413e+07 
+7.5000000000000011e-01 -5.8043141855392344e-01 +7.6651177074830779e+00 +3.5516014144579628e+00 +3.3635443778334640e+01 +1.6326359288411819e+04 -5.4596574113071768e+05 -8.2133337541143194e+07 
+8.0000000000000016e-01 -5.8043697146041717e-01 +7.6653568158602248e+00 +3.5474000818347933e+00 +3.3862278815320160e+01 +1.6291295405772422e+04 -5.4765779065111850e+05 -8.1856658523077756e+07 
+8.5000000000000020e-01 -5.8044283569128974e-01 +7.6656127816654029e+00 +3.5427876084616909e+00 +3.4099683969459718e+01 +1.6257231370290772e+04 -5.4940670527310506e+05 -8.1587377825147092e+07 
+9.0000000000000024e-01 -5.8044901085412626e-01 +7.6658855949820133e+00 +3.5377699159454199e+00 +3.4346416015402234e+01 +1.6224161480125016e+04 -5.5120522757338278e+05 -8.1325643513428450e+07 
+9.5000000000000029e-01 -5.8045549655655015e-01 +7.6661752458898835e+00 +3.5323529303106196e+00 +3.4601231878466720e+01 +1.6192079912104065e+04 -5.5304610129375814e+05 -8.1071602823405847e+07 
+1.0000000000000002e+00 -5.8046229240618596e-01 +7.6664817244720060e+00 +3.5265425757408160e+00 +3.4862888387915071e+01 +1.6160980887780521e+04 -5.5492206943002169e+05 -8.0825403275447845e+07 
+1.0500000000000003e+00 -5.8046939801067077e-01 +7.6668050208127294e+00 +3.5203447752535557e+00 +3.5130142331677575e+01 +1.6130858668746570e+04 -5.5682587460467685e+05 -8.0587192692091018e+07 
+1.1000000000000003e+00 -5.8047681297768150e-01 +7.6671451249917570e+00 +3.5137654569787906e+00 +3.5401750695772982e+01 +1.6101707374082462e+04 -5.5875026101745281e+05 -8.0357117917340621e+07 
+1.1500000000000004e+00 -5.8048453691486124e-01 +7.6675020270968011e+00 +3.5068105401716654e+00 +3.5676470161191695e+01 +1.6073521364803935e+04 -5.6068797035995417e+05 -8.0135327436566114e+07 
+1.2000000000000004e+00 -5.8049256942991645e-01 +7.6678757172106922e+00 +3.4994859529266580e+00 +3.5953057631126363e+01 +1.6046294764374919e+04 -5.6263174615238537e+05 -7.9921968136381358e+07 
+1.2500000000000004e+00 -5.8050091013053906e-01 +7.6682661854157761e+00 +3.4917976185250708e+00 +3.6230270036154323e+01 +1.6020021824273463e+04 -5.6457433209220855e+05 -7.9717187761547416e+07 
+1.3000000000000005e+00 -5.8050955862444598e-01 +7.6686734218006727e+00 +3.4837514617827234e+00 +3.6506864064505159e+01 +1.5994696758213289e+04 -5.6650846985977935e+05 -7.9521133813613877e+07 
+1.3500000000000005e+00 -5.8051851451935865e-01 +7.6690974164461911e+00 +3.4753534057797593e+00 +3.6781596742798790e+01 +1.5970313828461874e+04 -5.6842690390436642e+05 -7.9333954129463419e+07 
+1.4000000000000006e+00 -5.8052777742303985e-01 +7.6695381594410996e+00 +3.4666093787650318e+00 +3.7053224786629315e+01 +1.5946867156268554e+04 -5.7032237609186000e+05 -7.9155795588991866e+07 
+1.4500000000000006e+00 -5.8053734694322179e-01 +7.6699956408697592e+00 +3.4575253008148543e+00 +3.7320505103541286e+01 +1.5924351085494509e+04 -5.7218762984722434e+05 -7.8986806580915764e+07 
+1.5000000000000007e+00 -5.8054722268770331e-01 +7.6704698508207487e+00 +3.4481071013936844e+00 +3.7582194433580867e+01 +1.5902759708058602e+04 -5.7401540714866202e+05 -7.8827133797884360e+07 
+1.5500000000000007e+00 -5.8055740426424907e-01 +7.6709607793766299e+00 +3.4383607017875204e+00 +3.7837049787431312e+01 +1.5882087336428227e+04 -5.7579845222046459e+05 -7.8676925425588295e+07 
+1.6000000000000008e+00 -5.8056789128067932e-01 +7.6714684166258422e+00 +3.4282920300529485e+00 +3.8083827937564827e+01 +1.5862328104314534e+04 -5.7752950726314855e+05 -7.8536328451172411e+07 
+1.6500000000000008e+00 -5.8057868334479401e-01 +7.6719927526556768e+00 +3.4179070088627261e+00 +3.8321285717105198e+01 +1.5843476287807795e+04 -5.7920131495502056e+05 -7.8405490816575393e+07 
+1.7000000000000008e+00 -5.8058978006442630e-01 +7.6725337775530997e+00 +3.4072115635819213e+00 +3.8548179985495324e+01 +1.5825526100120283e+04 -5.8080661816614063e+05 -7.8284560075262502e+07 
+1.7500000000000009e+00 -5.8060118104742386e-01 +7.6730914814047138e+00 +3.3962116206468531e+00 +3.8763267620480946e+01 +1.5808471714961366e+04 -5.8233815986570250e+05 -7.8173683471560583e+07 
+1.8000000000000009e+00 -5.8061288590164251e-01 +7.6736658542982372e+00 +3.3849131044683669e+00 +3.8965305465558373e+01 +1.5792307373520467e+04 -5.8378868270292936e+05 -7.8073008755054340e+07 
+1.8500000000000010e+00 -5.8062489423495856e-01 +7.6742568863217882e+00 +3.3733219413047957e+00 +3.9153050361224572e+01 +1.5777027265800341e+04 -5.8515092928941210e+05 -7.7982683325811833e+07 
+1.9000000000000010e+00 -5.8063720565526078e-01 +7.6748645675629428e+00 +3.3614440573639555e+00 +3.9325259169350701e+01 +1.5762625579659880e+04 -5.8641764234370459e+05 -7.7902854555300549e+07 
+1.9500000000000011e+00 -5.8064981977043961e-01 +7.6754888881083030e+00 +3.3492853764666437e+00 +3.9480688806393097e+01 +1.5749096572941242e+04 -5.8758156501503743e+05 -7.7833670305563211e+07 
+2.0000000000000009e+00 -5.8066273618842634e-01 +7.6761298380476468e+00 +3.3368518271346894e+00 +3.9618096061669007e+01 +1.5736434380885350e+04 -5.8863543935474602e+05 -7.7775277629255101e+07 
+2.0500000000000007e+00 -5.8067595423685903e-01 +7.6767873817277872e+00 +3.3241483865323262e+00 +3.9736561273789526e+01 +1.5724617318326245e+04 -5.8957353620549198e+05 -7.7727630895337090e+07 
+2.1000000000000005e+00 -5.8068947212246613e-01 +7.6774613725737373e+00 +3.3111769976225460e+00 +3.9836523772956006e+01 +1.5713549942749200e+04 -5.9039667710007797e+05 -7.7689860216027781e+07 
+2.1500000000000004e+00 -5.8070328777179125e-01 +7.6781516342843315e+00 +3.2979390426860373e+00 +3.9918778250518585e+01 +1.5703115870987718e+04 -5.9110742766342242e+05 -7.7660877069304928e+07 
+2.2000000000000002e+00 -5.8071739911137321e-01 +7.6788579905567476e+00 +3.2844359021575777e+00 +3.9984119483620240e+01 +1.5693198765221396e+04 -5.9170835425084073e+05 -7.7639593224896267e+07 
+2.2500000000000000e+00 -5.8073180406778380e-01 +7.6795802650913005e+00 +3.2706689601237460e+00 +4.0033342153266581e+01 +1.5683682190651678e+04 -5.9220202250474493e+05 -7.7624919803610370e+07 
+2.2999999999999998e+00 -5.8074650056757837e-01 +7.6803182815874678e+00 +3.2566395962905150e+00 +4.0067240982990981e+01 +1.5674449829221432e+04 -5.9259099837253243e+05 -7.7615768713854209e+07 
+2.3499999999999996e+00 -5.8076148653735138e-01 +7.6810718637450188e+00 +3.2423491954241621e+00 +4.0086610718323833e+01 +1.5665385226829301e+04 -5.9287784807617415e+05 -7.7611050949185044e+07 
+2.3999999999999995e+00 -5.8077675990366506e-01 +7.6818408352658070e+00 +3.2277991350064550e+00 +4.0092246042152404e+01 +1.5656372123768109e+04 -5.9306513733173301e+05 -7.7609678808108166e+07 
+2.4499999999999993e+00 -5.8079231859314828e-01 +7.6826250198505885e+00 +3.2129908031278931e+00 +4.0084941702914200e+01 +1.5647293970070874e+04 -5.9315543243689183e+05 -7.7610562618631840e+07 
+2.4999999999999991e+00 -5.8080816053238538e-01 +7.6834242411987361e+00 +3.1979255777909237e+00 +4.0065492523783249e+01 +1.5638034492304847e+04 -5.9315130030603078e+05 -7.7612614594258219e+07 
+2.5499999999999989e+00 -5.8082428364799654e-01 +7.6842383230137115e+00 +3.1826048425704596e+00 +4.0034693204411603e+01 +1.5628477259888203e+04 -5.9305530696336983e+05 -7.7614745864360124e+07 
+2.5999999999999988e+00 -5.8084068586659898e-01 +7.6850670889986761e+00 +3.1670299786931042e+00 +3.9993338459706692e+01 +1.5618505907467264e+04 -5.9287001851449907e+05 -7.7615868011400342e+07 
+2.6499999999999986e+00 -5.8085736511482500e-01 +7.6859103628548793e+00 +3.1512023685032764e+00 +3.9942223125510871e+01 +1.5608004038416151e+04 -5.9259800217206904e+05 -7.7614892401383653e+07 
+2.6999999999999984e+00 -5.8087431931931666e-01 +7.6867679682883825e+00 +3.1351233952606439e+00 +3.9882141859839251e+01 +1.5596855224561326e+04 -5.9224182371283683e+05 -7.7610730167270690e+07 
+2.7499999999999982e+00 -5.8089154640670893e-01 +7.6876397290029139e+00 +3.1187944391614550e+00 +3.9813889441794416e+01 +1.5584943126668803e+04 -5.9180404995770741e+05 -7.7602293070783854e+07 
+2.7999999999999980e+00 -5.8090904430366919e-01 +7.6885254687009006e+00 +3.1022168846076172e+00 +3.9738260728140695e+01 +1.5572151287863760e+04 -5.9128724841254496e+05 -7.7588492063075051e+07 
+2.8499999999999979e+00 -5.8092681093684795e-01 +7.6894250110890816e+00 +3.0853921127407680e+00 +3.9656050431023445e+01 +1.5558363330874186e+04 -5.9069398547185562e+05 -7.7568238608494222e+07 
+2.8999999999999977e+00 -5.8094484423290305e-01 +7.6903381798733301e+00 +3.0683215041007719e+00 +3.9568053326063740e+01 +1.5543462899310032e+04 -5.9002682811758178e+05 -7.7540444332546651e+07 
+2.9499999999999975e+00 -5.8096314211851974e-01 +7.6912647987593914e+00 +3.0510064428006007e+00 +3.9475064210065810e+01 +1.5527333538298246e+04 -5.8928834351726656e+05 -7.7504020189704657e+07 
+2.9999999999999973e+00 -5.8098170252037185e-01 +7.6922046914539184e+00 +3.0334483104681880e+00 +3.9377877896586980e+01 +1.5509858852653875e+04 -5.8848109915158013e+05 -7.7457877515562043e+07 
+3.0499999999999972e+00 -5.8100052336514230e-01 +7.6931576816639389e+00 +3.0156484884018573e+00 +3.9277289185163319e+01 +1.5490922462570963e+04 -5.8760766233579058e+05 -7.7400927778871685e+07 
+3.0999999999999970e+00 -5.8101960257952756e-01 +7.6941235930973519e+00 +2.9976083601435910e+00 +3.9174092881072134e+01 +1.5470407916291988e+04 -5.8667060056638427e+05 -7.7332081921791211e+07 
+3.1499999999999968e+00 -5.8103893809022145e-01 +7.6951022494636598e+00 +2.9793293071369056e+00 +3.9069083751095619e+01 +1.5448198821745174e+04 -5.8567248107124201e+05 -7.7250251305169091e+07 
+3.1999999999999966e+00 -5.8105852782391831e-01 +7.6960934744711009e+00 +2.9608127102907607e+00 +3.8963056645599409e+01 +1.5424178796667842e+04 -5.8461587186991773e+05 -7.7154347343722299e+07 
+3.2499999999999964e+00 -5.8107836970733673e-01 +7.6970970918294643e+00 +2.9420599539139598e+00 +3.8856806378464348e+01 +1.5398231364856741e+04 -5.8350334073403361e+05 -7.7043280815225139e+07 
+3.2999999999999963e+00 -5.8109846166718648e-01 +7.6981129252477549e+00 +2.9230724194615041e+00 +3.8751127837986310e+01 +1.5370240127199124e+04 -5.8233745618435484e+05 -7.6915963020613670e+07 
+3.3499999999999961e+00 -5.8111880163017704e-01 +7.6991407984382372e+00 +2.9038514881285575e+00 +3.8646815787242453e+01 +1.5340088682994308e+04 -5.8112078570167965e+05 -7.6771305222924069e+07 
+3.3999999999999959e+00 -5.8113938752302530e-01 +7.7001805351100456e+00 +2.8843985413248880e+00 +3.8544665162700881e+01 +1.5307660627504929e+04 -5.7985589833270735e+05 -7.6608218670450360e+07 
+3.4499999999999957e+00 -5.8116021727246181e-01 +7.7012319589775897e+00 +2.8647149619492387e+00 +3.8445470722769180e+01 +1.5272839512586037e+04 -5.7854536178426503e+05 -7.6425614309862643e+07 
+3.4999999999999956e+00 -5.8118128880522391e-01 +7.7022948937527680e+00 +2.8448021337365166e+00 +3.8350027347985744e+01 +1.5235508862694085e+04 -5.7719174480193621e+05 -7.6222402890176326e+07 
+3.5499999999999954e+00 -5.8120260004802604e-01 +7.7033691631479657e+00 +2.8246614355775161e+00 +3.8259129934785747e+01 +1.5195552331350738e+04 -5.7579761637283966e+05 -7.5997496031481490e+07 
+3.5999999999999952e+00 -5.8122414892761576e-01 +7.7044545908758542e+00 +2.8042942514652713e+00 +3.8173573411592102e+01 +1.5152853430826483e+04 -5.7436554588686326e+05 -7.5749804389178649e+07 
+3.6499999999999950e+00 -5.8124593337072916e-01 +7.7055510006528465e+00 +2.7837019628876591e+00 +3.8094152567387283e+01 +1.5107295738340008e+04 -5.7289810161130852e+05 -7.5478239056125939e+07 
+3.6999999999999948e+00 -5.8126795130411146e-01 +7.7066582161924488e+00 +2.7628859525201790e+00 +3.8021662356441404e+01 +1.5058762794026974e+04 -5.7139785332234844e+05 -7.5181710858278871e+07 
+3.7499999999999947e+00 -5.8129020065449843e-01 +7.7077760612111286e+00 +2.7418476009537525e+00 +3.7956897642889800e+01 +1.5007138190393569e+04 -5.6986737015685928e+05 -7.4859130968222454e+07 
+3.7999999999999945e+00 -5.8131267934863418e-01 +7.7089043594234745e+00 +2.7205882893343172e+00 +3.7900653412741171e+01 +1.4952305504766504e+04 -5.6830922239642858e+05 -7.4509410459877938e+07 
+3.8499999999999943e+00 -5.8133538531327844e-01 +7.7100429345485324e+00 +2.6991094015044643e+00 +3.7853724481234927e+01 +1.4894148237136797e+04 -5.6672597894999862e+05 -7.4131459874250427e+07 
+3.8999999999999941e+00 -5.8135831647517466e-01 +7.7111916103017855e+00 +2.6774123181224501e+00 +3.7816905864184804e+01 +1.4832549966089673e+04 -5.6512021055244561e+05 -7.3724190259534389e+07 
+3.9499999999999940e+00 -5.8138147076107538e-01 +7.7123502104022803e+00 +2.6554984208276573e+00 +3.7790992455018333e+01 +1.4767394244580830e+04 -5.6349448700501607e+05 -7.3286512501935676e+07 
+3.9999999999999938e+00 -5.8140484609773757e-01 +7.7135185585668937e+00 +2.6333690921729684e+00 +3.7776779290182048e+01 +1.4698564594221354e+04 -5.6185137945500237e+05 -7.2817337254995570e+07 
+4.0499999999999936e+00 -5.8142844040767194e-01 +7.7146964852288678e+00 +2.6110264764344508e+00 +3.7774938573502332e+01 +1.4625983846592904e+04 -5.6019373492017074e+05 -7.2315938441201881e+07 
+4.0999999999999934e+00 -5.8145225159522218e-01 +7.7158838492263264e+00 +2.5884751599347458e+00 +3.7785459648460701e+01 +1.4549746749384740e+04 -5.5852440400805953e+05 -7.1783083895887941e+07 
+4.1499999999999932e+00 -5.8147627755987918e-01 +7.7170805169101468e+00 +2.5657201794594893e+00 +3.7808113374872804e+01 +1.4469995421173306e+04 -5.5684598359084979e+05 -7.1219929272113606e+07 
+4.1999999999999931e+00 -5.8150051620111765e-01 +7.7182863546267608e+00 +2.5427665684746041e+00 +3.7842670766036314e+01 +1.4386872073015424e+04 -5.5516107182043442e+05 -7.0627630847162485e+07 
+4.2499999999999929e+00 -5.8152496541843957e-01 +7.7195012287254974e+00 +2.5196193643170499e+00 +3.7888902711978055e+01 +1.4300518817179629e+04 -5.5347226585507253e+05 -7.0007344244899690e+07 
+4.2999999999999927e+00 -5.8154962311132963e-01 +7.7207250055532750e+00 +2.4962836018757177e+00 +3.7946580167587527e+01 +1.4211077826658875e+04 -5.5178216329351731e+05 -6.9360225478972748e+07 
+4.3499999999999925e+00 -5.8157448717927351e-01 +7.7219575514569865e+00 +2.4727643153954384e+00 +3.8015474081659484e+01 +1.4118691295002838e+04 -5.5009336169899488e+05 -6.8687430705058828e+07 
+4.3999999999999924e+00 -5.8159955552178100e-01 +7.7231987327828548e+00 +2.4490665428012379e+00 +3.8095355412161148e+01 +1.4023501323625842e+04 -5.4840845867560629e+05 -6.7990115480761483e+07 
+4.4499999999999922e+00 -5.8162482603832955e-01 +7.7244484158796816e+00 +2.4251953167999281e+00 +3.8185994977854307e+01 +1.3925650147119484e+04 -5.4673005060801492e+05 -6.7269436228634194e+07 
+4.4999999999999920e+00 -5.8165029662841783e-01 +7.7257064670915119e+00 +2.4011556731476147e+00 +3.8287163774322593e+01 +1.3825279926870922e+04 -5.4506073530643922e+05 -6.6526548906510428e+07 
+4.5499999999999918e+00 -5.8167596519154607e-01 +7.7269727527653611e+00 +2.3769526478977534e+00 +3.8398632656814733e+01 +1.3722532812847701e+04 -5.4340310940264806e+05 -6.5762609375151157e+07 
+4.5999999999999917e+00 -5.8170182962719874e-01 +7.7282471392469025e+00 +2.3525912742444426e+00 +3.8520172504947098e+01 +1.3617551035623081e+04 -5.4175976967548905e+05 -6.4978774048398502e+07 
+4.6499999999999915e+00 -5.8172788783487828e-01 +7.7295294928780445e+00 +2.3280765882516805e+00 +3.8651554321724959e+01 +1.3510476752253046e+04 -5.4013331384860002e+05 -6.4176198853384197e+07 
+4.6999999999999913e+00 -5.8175413771407747e-01 +7.7308196800078219e+00 +2.3034136245301258e+00 +3.8792548801131773e+01 +1.3401452156041840e+04 -5.3852633708539500e+05 -6.3356039941707589e+07 
+4.7499999999999911e+00 -5.8178057716429354e-01 +7.7321175669762185e+00 +2.2786074181831886e+00 +3.8942926967593742e+01 +1.3290619432789430e+04 -5.3694143719744007e+05 -6.2519453432179779e+07 
+4.7999999999999909e+00 -5.8180720408501185e-01 +7.7334230201295924e+00 +2.2536630020690827e+00 +3.9102459566840487e+01 +1.3178120832030952e+04 -5.3538120967496745e+05 -6.1667595878607132e+07 
