# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
0.0000000000000000e+00 +8.5389999999999997e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0000000000000000e+00
5.0000000000000003e-02 +8.5389999309314106e+00 +0.0000000000000000e+00 +4.9999999999936394e-02 -2.7627423850013571e-06 +0.0000000000000000e+00 +9.9999999999618361e-01
1.0000000000000001e-01 +8.5389997237258672e+00 +0.0000000000000000e+00 +9.9999999999491149e-02 -5.5254784063279132e-06 +0.0000000000000000e+00 +9.9999999998473454e-01
1.5000000000000002e-01 +8.5389993783836449e+00 +0.0000000000000000e+00 +1.4999999999828262e-01 -8.2882098537245661e-06 +0.0000000000000000e+00 +9.9999999996565281e-01
2.0000000000000001e-01 +8.5389988949049282e+00 +0.0000000000000000e+00 +1.9999999999592921e-01 -1.1050938515111640e-05 +0.0000000000000000e+00 +9.9999999993893840e-01
2.5000000000000000e-01 +8.5389982732898098e+00 +0.0000000000000000e+00 +2.4999999999204925e-01 -1.3813666176584970e-05 +0.0000000000000000e+00 +9.9999999990459132e-01
2.9999999999999999e-01 +8.5389975135382965e+00 +0.0000000000000000e+00 +2.9999999998626115e-01 -1.6576394622415977e-05 +0.0000000000000000e+00 +9.9999999986261157e-01
3.4999999999999998e-01 +8.5389966156503050e+00 +0.0000000000000000e+00 +3.4999999997818321e-01 -1.9339125635051755e-05 +0.0000000000000000e+00 +9.9999999981299914e-01
3.9999999999999997e-01 +8.5389955796256611e+00 +0.0000000000000000e+00 +3.9999999996743385e-01 -2.2101860995115147e-05 +0.0000000000000000e+00 +9.9999999975575393e-01
4.4999999999999996e-01 +8.5389944054641038e+00 +0.0000000000000000e+00 +4.4999999995363138e-01 -2.4864602481404827e-05 +0.0000000000000000e+00 +9.9999999969087583e-01
4.9999999999999994e-01 +8.5389930931652813e+00 +0.0000000000000000e+00 +4.9999999993639421e-01 -2.7627351870895385e-05 +0.0000000000000000e+00 +9.9999999961836472e-01
5.4999999999999993e-01 +8.5389916427287549e+00 +0.0000000000000000e+00 +5.4999999991534065e-01 -3.0390110938737403e-05 +0.0000000000000000e+00 +9.9999999953822061e-01
5.9999999999999998e-01 +8.5389900541539969e+00 +0.0000000000000000e+00 +5.9999999989008901e-01 -3.3152881458257537e-05 +0.0000000000000000e+00 +9.9999999945044327e-01
6.5000000000000002e-01 +8.5389883274403893e+00 +0.0000000000000000e+00 +6.4999999986025769e-01 -3.5915665200958604e-05 +0.0000000000000000e+00 +9.9999999935503259e-01
7.0000000000000007e-01 +8.5389864625872267e+00 +0.0000000000000000e+00 +6.9999999982546501e-01 -3.8678463936519645e-05 +0.0000000000000000e+00 +9.9999999925198835e-01
7.5000000000000011e-01 +8.5389844595937152e+00 +0.0000000000000000e+00 +7.4999999978532927e-01 -4.1441279432796033e-05 +0.0000000000000000e+00 +9.9999999914131033e-01
8.0000000000000016e-01 +8.5389823184589737e+00 +0.0000000000000000e+00 +7.9999999973946878e-01 -4.4204113455819533e-05 +0.0000000000000000e+00 +9.9999999902299830e-01
8.5000000000000020e-01 +8.5389800391820305e+00 +0.0000000000000000e+00 +8.4999999968750184e-01 -4.6966967769798385e-05 +0.0000000000000000e+00 +9.9999999889705204e-01
9.0000000000000024e-01 +8.5389776217618287e+00 +0.0000000000000000e+00 +8.9999999962904675e-01 -4.9729844137117402e-05 +0.0000000000000000e+00 +9.9999999876347134e-01
9.5000000000000029e-01 +8.5389750661972208e+00 +0.0000000000000000e+00 +9.4999999956372172e-01 -5.2492744318338021e-05 +0.0000000000000000e+00 +9.9999999862225597e-01
1.0000000000000002e+00 +8.5389723724869704e+00 +0.0000000000000000e+00 +9.9999999949114504e-01 -5.5255670072198417e-05 +0.0000000000000000e+00 +9.9999999847340548e-01
1.0500000000000003e+00 +8.5389695406297577e+00 +0.0000000000000000e+00 +1.0499999994109350e+00 -5.8018623155613563e-05 +0.0000000000000000e+00 +9.9999999831691966e-01
1.1000000000000003e+00 +8.5389665706241704e+00 +0.0000000000000000e+00 +1.0999999993227099e+00 -6.0781605323675312e-05 +0.0000000000000000e+00 +9.9999999815279816e-01
1.1500000000000004e+00 +8.5389634624687112e+00 +0.0000000000000000e+00 +1.1499999992260876e+00 -6.3544618329652481e-05 +0.0000000000000000e+00 +9.9999999798104067e-01
1.2000000000000004e+00 +8.5389602161617937e+00 +0.0000000000000000e+00 +1.1999999991206867e+00 -6.6307663924990954e-05 +0.0000000000000000e+00 +9.9999999780164672e-01
1.2500000000000004e+00 +8.5389568317017464e+00 +0.0000000000000000e+00 +1.2499999990061250e+00 -6.9070743859313705e-05 +0.0000000000000000e+00 +9.9999999761461600e-01
1.3000000000000005e+00 +8.5389533090868071e+00 +0.0000000000000000e+00 +1.2999999988820210e+00 -7.1833859880420951e-05 +0.0000000000000000e+00 +9.9999999741994816e-01
1.3500000000000005e+00 +8.5389496483151284e+00 +0.0000000000000000e+00 +1.3499999987479927e+00 -7.4597013734290185e-05 +0.0000000000000000e+00 +9.9999999721764266e-01
1.4000000000000006e+00 +8.5389458493847741e+00 +0.0000000000000000e+00 +1.3999999986036580e+00 -7.7360207165076263e-05 +0.0000000000000000e+00 +9.9999999700769904e-01
1.4500000000000006e+00 +8.5389419122937227e+00 +0.0000000000000000e+00 +1.4499999984486351e+00 -8.0123441915111497e-05 +0.0000000000000000e+00 +9.9999999679011686e-01
1.5000000000000007e+00 +8.5389378370398639e+00 +0.0000000000000000e+00 +1.4999999982825423e+00 -8.2886719724905723e-05 +0.0000000000000000e+00 +9.9999999656489569e-01
1.5500000000000007e+00 +8.5389336236210021e+00 +0.0000000000000000e+00 +1.5499999981049974e+00 -8.5650042333146410e-05 +0.0000000000000000e+00 +9.9999999633203496e-01
1.6000000000000008e+00 +8.5389292720348546e+00 +0.0000000000000000e+00 +1.5999999979156185e+00 -8.8413411476698711e-05 +0.0000000000000000e+00 +9.9999999609153412e-01
1.6500000000000008e+00 +8.5389247822790502e+00 +0.0000000000000000e+00 +1.6499999977140236e+00 -9.1176828890605549e-05 +0.0000000000000000e+00 +9.9999999584339272e-01
1.7000000000000008e+00 +8.5389201543511319e+00 +0.0000000000000000e+00 +1.6999999974998306e+00 -9.3940296308087711e-05 +0.0000000000000000e+00 +9.9999999558761010e-01
1.7500000000000009e+00 +8.5389153882485562e+00 +0.0000000000000000e+00 +1.7499999972726572e+00 -9.6703815460543911e-05 +0.0000000000000000e+00 +9.9999999532418582e-01
1.8000000000000009e+00 +8.5389104839686940e+00 +0.0000000000000000e+00 +1.7999999970321217e+00 -9.9467388077550891e-05 +0.0000000000000000e+00 +9.9999999505311910e-01
1.8500000000000010e+00 +8.5389054415088292e+00 +0.0000000000000000e+00 +1.8499999967778418e+00 -1.0223101588686348e-04 +0.0000000000000000e+00 +9.9999999477440948e-01
1.9000000000000010e+00 +8.5389002608661571e+00 +0.0000000000000000e+00 +1.8999999965094352e+00 -1.0499470061441470e-04 +0.0000000000000000e+00 +9.9999999448805621e-01
1.9500000000000011e+00 +8.5388949420377909e+00 +0.0000000000000000e+00 +1.9499999962265200e+00 -1.0775844398431583e-04 +0.0000000000000000e+00 +9.9999999419405872e-01
2.0000000000000009e+00 +8.5388894850207535e+00 +0.0000000000000000e+00 +1.9999999959287138e+00 -1.1052224771885648e-04 +0.0000000000000000e+00 +9.9999999389241623e-01
2.0500000000000007e+00 +8.5388838898119843e+00 +0.0000000000000000e+00 +2.0499999956156341e+00 -1.1328611353820976e-04 +0.0000000000000000e+00 +9.9999999358312808e-01
2.1000000000000005e+00 +8.5388781564083356e+00 +0.0000000000000000e+00 +2.0999999952868991e+00 -1.1605004315718803e-04 +0.0000000000000000e+00 +9.9999999326619360e-01
2.1500000000000004e+00 +8.5388722848065761e+00 +0.0000000000000000e+00 +2.1499999949421262e+00 -1.1881403828199864e-04 +0.0000000000000000e+00 +9.9999999294161201e-01
2.2000000000000002e+00 +8.5388662750033877e+00 +0.0000000000000000e+00 +2.1999999945809328e+00 -1.2157810060994910e-04 +0.0000000000000000e+00 +9.9999999260938255e-01
2.2500000000000000e+00 +8.5388601269953668e+00 +0.0000000000000000e+00 +2.2499999942029367e+00 -1.2434223182944710e-04 +0.0000000000000000e+00 +9.9999999226950453e-01
2.2999999999999998e+00 +8.5388538407790282e+00 +0.0000000000000000e+00 +2.2999999938077558e+00 -1.2710643362000060e-04 +0.0000000000000000e+00 +9.9999999192197708e-01
