magnet:B1-014, current:403.6A => nr_iter:04, energy:3.003810 GeV, x0:8.5146 mm
magnet:B1-015, current:403.6A => nr_iter:04, energy:3.003810 GeV, x0:8.5429 mm
magnet:B1-016, current:403.6A => nr_iter:04, energy:3.003810 GeV, x0:8.5015 mm
magnet:B1-017, current:403.6A => nr_iter:04, energy:3.003810 GeV, x0:8.5453 mm
magnet:B1-018, current:403.6A => nr_iter:04, energy:3.003810 GeV, x0:8.5466 mm
magnet:B1-019, current:403.6A => nr_iter:04, energy:3.003810 GeV, x0:8.4923 mm
magnet:B1-020, current:403.6A => nr_iter:04, energy:3.003810 GeV, x0:8.5440 mm
magnet:B1-021, current:403.6A => nr_iter:04, energy:3.003810 GeV, x0:8.5136 mm
magnet:B1-022, current:403.6A => nr_iter:04, energy:3.003810 GeV, x0:8.5363 mm
magnet:B1-023, current:403.6A => nr_iter:04, energy:3.003810 GeV, x0:8.5361 mm
magnet:B1-024, current:403.6A => nr_iter:04, energy:3.003810 GeV, x0:8.5235 mm
magnet:B1-025, current:403.6A => nr_iter:04, energy:3.003810 GeV, x0:8.4966 mm
magnet:B1-026, current:403.6A => nr_iter:04, energy:3.003810 GeV, x0:8.5000 mm
magnet:B1-027, current:403.6A => nr_iter:04, energy:3.003810 GeV, x0:8.5346 mm
magnet:B1-028, current:403.6A => nr_iter:04, energy:3.003810 GeV, x0:8.5455 mm
magnet:B1-029, current:403.6A => nr_iter:04, energy:3.003810 GeV, x0:8.5332 mm
magnet:B1-030, current:403.6A => nr_iter:04, energy:3.003810 GeV, x0:8.5399 mm
magnet:B1-031, current:403.6A => nr_iter:04, energy:3.003810 GeV, x0:8.5136 mm
magnet:B1-032, current:403.6A => nr_iter:04, energy:3.003810 GeV, x0:8.5160 mm
magnet:B1-033, current:403.6A => nr_iter:04, energy:3.003810 GeV, x0:8.5254 mm
magnet:B1-034, current:403.6A => nr_iter:04, energy:3.003810 GeV, x0:8.5421 mm
magnet:B1-035, current:403.6A => nr_iter:04, energy:3.003810 GeV, x0:8.5117 mm
magnet:B1-036, current:403.6A => nr_iter:04, energy:3.003810 GeV, x0:8.5194 mm
magnet:B1-037, current:403.6A => nr_iter:04, energy:3.003810 GeV, x0:8.5320 mm
magnet:B1-038, current:403.6A => nr_iter:04, energy:3.003810 GeV, x0:8.5075 mm
magnet:B1-039, current:403.6A => nr_iter:04, energy:3.003810 GeV, x0:8.5463 mm
magnet:B1-040, current:403.6A => nr_iter:04, energy:3.003810 GeV, x0:8.5065 mm
magnet:B1-041, current:403.6A => nr_iter:04, energy:3.003810 GeV, x0:8.5429 mm
magnet:B1-042, current:403.6A => nr_iter:04, energy:3.003810 GeV, x0:8.5156 mm
magnet:B1-043, current:403.6A => nr_iter:04, energy:3.003810 GeV, x0:8.5189 mm
magnet:B1-046, current:403.6A => nr_iter:04, energy:3.003810 GeV, x0:8.5275 mm
magnet:B1-002, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.5251 mm
magnet:B1-003, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.5229 mm
magnet:B1-004, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.5126 mm
magnet:B1-005, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.5057 mm
magnet:B1-006, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.5356 mm
magnet:B1-009, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.5224 mm
magnet:B1-010, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.5128 mm
magnet:B1-011, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.4911 mm
magnet:B1-012, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.5379 mm
magnet:B1-013, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.5367 mm
magnet:B1-014, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.5113 mm
magnet:B1-015, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.5427 mm
magnet:B1-016, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.4886 mm
magnet:B1-017, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.5399 mm
magnet:B1-018, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.5454 mm
magnet:B1-019, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.4940 mm
magnet:B1-020, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.5313 mm
magnet:B1-021, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.5048 mm
magnet:B1-022, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.5326 mm
magnet:B1-023, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.5320 mm
magnet:B1-024, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.5198 mm
magnet:B1-025, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.4955 mm
magnet:B1-026, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.4946 mm
magnet:B1-027, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.5311 mm
magnet:B1-028, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.5353 mm
magnet:B1-029, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.5291 mm
magnet:B1-030, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.5389 mm
magnet:B1-031, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.5101 mm
magnet:B1-032, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.5129 mm
magnet:B1-033, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.5209 mm
magnet:B1-034, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.5354 mm
magnet:B1-035, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.5107 mm
magnet:B1-036, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.5184 mm
magnet:B1-037, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.5241 mm
magnet:B1-038, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.5056 mm
magnet:B1-039, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.5381 mm
magnet:B1-040, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.5052 mm
magnet:B1-041, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.5374 mm
magnet:B1-042, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.5090 mm
magnet:B1-043, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.5133 mm
magnet:B1-046, current:421.9A => nr_iter:04, energy:3.137825 GeV, x0:8.5211 mm
